470,0,80,2018
332,11,88,2013
254,10,62,2018
460,4,90,2022
113,6,23,2015
275,16,13,2015
318,14,46,2014
390,1,29,2015
180,17,28,2017
396,1,57,2013
272,3,105,2015
336,5,105,2017
120,7,29,2020
428,15,71,2021
168,8,75,2019
90,18,48,2021
206,2,95,2021
149,4,95,2016
213,3,49,2013
157,16,51,2021
33,13,70,2011
311,11,62,2018
352,5,57,2011
205,10,106,2013
22,15,33,2013
13,7,73,2012
121,14,70,2023
351,0,53,2013
287,18,77,2014
42,8,19,2013
277,11,119,2012
442,5,107,2019
241,6,44,2021
443,18,67,2011
286,2,74,2021
54,6,94,2022
98,16,61,2011
364,17,78,2021
25,8,31,2011
313,1,58,2023
323,4,90,2021
448,10,109,2017
369,8,119,2020
40,16,81,2021
114,12,23,2010
97,17,24,2019
242,13,37,2016
65,3,42,2019
450,16,104,2023
125,14,76,2017
491,14,42,2016
224,0,88,2021
383,10,33,2022
56,8,99,2012
356,14,14,2017
166,8,73,2014
83,8,98,2018
164,13,25,2017
128,3,92,2016
240,18,25,2011
119,0,70,2014
397,14,17,2015
420,0,63,2018
248,16,3,2018
441,4,97,2010
380,1,48,2017
48,14,58,2023
289,16,28,2011
34,4,83,2019
115,8,77,2021
74,11,10,2010
165,14,102,2011
463,11,43,2012
86,7,44,2011
434,3,9,2012
469,15,22,2019
281,8,68,2014
417,14,113,2019
335,2,44,2018
5,5,76,2021
4,0,77,2022
239,10,79,2022
486,16,53,2020
132,9,37,2014
17,6,30,2022
357,3,106,2017
116,1,12,2019
41,9,27,2021
344,5,120,2015
204,8,9,2021
291,10,37,2021
304,12,43,2010
2,1,11,2022
69,12,81,2021
438,18,2,2023
156,14,40,2014
234,0,30,2014
175,8,116,2012
298,15,88,2013
333,16,39,2015
43,7,87,2018
305,5,42,2012
92,12,28,2016
52,7,83,2019
346,13,25,2018
494,17,118,2011
233,6,41,2023
436,15,102,2014
7,15,93,2014
158,1,53,2012
359,16,96,2014
379,2,69,2011
457,9,35,2016
399,14,1,2019
467,7,112,2018
215,7,17,2018
163,16,43,2023
67,12,97,2019
37,1,58,2022
71,18,118,2012
288,4,3,2021
334,17,13,2010
264,2,76,2019
23,18,12,2014
496,12,33,2017
173,17,50,2012
223,7,71,2021
373,3,33,2016
84,13,47,2017
35,0,102,2021
400,3,105,2011
160,16,64,2012
68,5,23,2017
210,3,92,2012
444,7,20,2010
406,16,7,2014
243,7,83,2019
96,16,73,2011
394,15,88,2016
384,18,6,2017
408,12,45,2012
117,11,110,2014
290,16,48,2010
236,13,25,2011
194,15,74,2023
245,8,85,2014
297,17,5,2018
140,5,53,2012
282,5,42,2015
187,15,94,2017
80,7,50,2011
181,13,119,2023
57,0,110,2020
171,5,81,2016
424,12,46,2023
279,8,118,2019
62,6,15,2019
366,13,71,2012
454,13,36,2014
363,3,95,2020
30,4,9,2023
271,14,68,2019
267,12,46,2021
345,9,118,2010
253,10,38,2011
251,10,35,2021
111,0,70,2018
498,9,5,2022
137,9,26,2011
76,8,90,2014
16,1,41,2012
294,0,81,2012
79,8,5,2019
44,5,19,2015
358,11,111,2014
330,13,39,2015
453,12,2,2015
249,9,104,2016
123,14,32,2021
231,10,47,2017
477,16,75,2022
220,12,108,2019
145,11,39,2012
403,11,74,2018
474,2,67,2012
136,0,66,2013
31,13,21,2013
309,11,4,2023
478,9,1,2016
53,2,4,2013
211,15,92,2018
9,4,77,2020
75,15,67,2021
280,10,36,2013
375,0,60,2019
256,18,86,2023
207,7,41,2012
263,14,3,2011
142,7,110,2013
135,8,105,2021
235,12,34,2020
322,14,98,2017
153,4,88,2012
6,3,117,2018
21,1,28,2017
328,1,46,2014
342,18,42,2022
188,10,62,2010
118,5,93,2011
405,5,114,2011
201,1,44,2012
10,4,56,2014
471,17,9,2023
299,3,112,2021
101,2,54,2014
321,0,103,2013
19,18,39,2016
107,5,24,2015
372,18,28,2022
167,4,38,2021
255,10,121,2020
159,0,55,2014
308,5,33,2018
473,6,92,2013
432,4,3,2014
246,2,47,2012
208,5,120,2021
341,6,56,2014
222,7,112,2010
458,0,69,2018
88,1,42,2013
148,7,121,2015
182,15,120,2013
374,2,110,2014
60,14,50,2017
108,15,70,2018
77,16,61,2011
46,1,116,2018
131,8,83,2022
419,12,59,2019
388,15,118,2014
18,17,8,2016
292,10,104,2012
303,13,116,2011
232,13,12,2017
257,18,18,2010
89,10,24,2022
179,9,81,2021
87,2,97,2017
217,0,17,2016
310,5,108,2021
433,2,51,2021
350,18,71,2019
38,16,43,2014
430,4,80,2023
462,11,26,2020
202,3,4,2011
483,5,80,2014
55,8,98,2021
451,15,52,2012
421,16,120,2017
439,1,88,2017
490,7,55,2023
300,0,24,2018
479,1,102,2013
134,14,85,2013
480,17,1,2017
218,0,42,2012
402,6,39,2023
82,8,36,2015
283,11,86,2019
407,4,26,2018
381,10,9,2020
326,2,55,2018
266,15,15,2011
178,16,78,2012
456,8,75,2016
481,0,103,2020
284,9,14,2014
216,13,115,2014
15,1,110,2021
315,9,111,2021
198,2,33,2018
339,15,19,2019
237,3,10,2010
183,14,17,2019
193,3,74,2018
66,5,45,2022
12,5,0,2021
219,0,1,2021
229,7,46,2022
274,5,68,2018
138,4,101,2015
427,6,9,2020
386,14,33,2020
259,18,50,2016
431,12,114,2022
151,14,47,2013
252,15,74,2016
387,12,20,2023
70,18,9,2023
99,11,93,2017
200,17,109,2014
139,3,47,2016
24,15,32,2017
425,14,50,2010
59,1,104,2020
314,10,88,2013
278,0,22,2010
247,4,21,2020
47,10,89,2011
495,0,65,2010
0,15,107,2018
325,12,64,2014
319,6,7,2022
269,12,34,2010
94,0,15,2023
161,17,66,2018
250,11,48,2014
39,15,3,2017
126,6,93,2023
295,6,38,2013
484,15,50,2015
489,3,88,2021
209,13,80,2022
362,7,67,2011
365,2,54,2015
244,5,92,2017
14,3,89,2023
258,13,39,2010
196,10,44,2023
186,18,21,2022
337,18,18,2011
100,13,27,2015
270,6,120,2010
412,15,54,2015
461,7,33,2023
212,6,72,2022
20,16,97,2020
273,5,41,2019
154,5,41,2022
184,3,30,2020
265,13,46,2018
130,9,102,2018
197,11,59,2017
361,4,11,2016
475,0,17,2020
367,17,60,2022
455,6,4,2017
347,5,62,2022
343,14,113,2015
411,12,47,2023
63,12,35,2015
162,0,84,2017
105,2,72,2012
58,7,64,2023
472,11,100,2016
144,7,46,2021
493,18,104,2017
51,18,89,2010
354,7,85,2010
465,4,51,2010
189,13,16,2012
36,7,120,2010
312,3,106,2018
492,0,23,2015
91,16,51,2015
285,13,33,2011
103,0,16,2018
327,4,6,2021
423,16,104,2017
416,6,110,2014
499,16,75,2018
316,2,16,2017
497,2,71,2020
95,4,69,2017
225,12,40,2019
355,8,67,2016
488,17,25,2012
81,14,110,2021
109,4,34,2022
446,15,14,2011
227,8,69,2010
28,6,60,2020
104,6,75,2021
487,15,110,2010
395,5,65,2022
307,4,17,2016
415,18,48,2017
106,3,71,2011
370,18,45,2021
296,7,89,2014
133,18,63,2010
11,14,18,2019
147,18,85,2020
398,6,37,2023
413,8,102,2017
392,6,118,2020
378,0,113,2010
112,2,76,2021
185,7,63,2011
172,14,64,2010
401,14,111,2010
146,1,79,2020
203,7,28,2017
276,5,51,2010
221,1,115,2022
143,5,88,2014
371,7,9,2022
376,5,46,2020
129,18,78,2022
8,13,47,2023
426,4,119,2012
393,11,101,2014
452,10,120,2014
482,1,78,2013
324,12,69,2015
306,16,39,2023
73,4,95,2012
445,10,51,2011
27,16,61,2017
72,13,55,2014
61,6,78,2011
466,3,30,2011
340,9,66,2022
418,11,112,2019
228,2,36,2013
377,1,0,2020
176,16,8,2013
440,16,32,2017
174,8,32,2015
338,5,22,2017
190,2,32,2014
199,13,29,2021
449,12,103,2023
214,17,56,2016
382,17,3,2016
127,14,20,2021
429,15,41,2012
85,8,6,2016
410,13,9,2013
422,17,42,2018
262,18,55,2014
230,2,11,2015
177,0,30,2017
50,17,118,2010
320,13,23,2023
447,15,88,2010
78,11,83,2017
485,11,47,2018
29,8,73,2019
414,12,5,2015
49,14,77,2019
152,10,43,2010
293,7,12,2019
150,10,34,2014
238,18,20,2012
435,7,99,2015
191,16,54,2013
353,3,93,2015
93,18,28,2022
169,1,119,2023
468,1,68,2010
391,11,13,2022
476,16,42,2012
261,8,92,2015
122,2,22,2019
64,11,48,2016
409,13,6,2019
459,2,99,2015
302,18,106,2012
385,9,55,2017
389,4,27,2013
192,16,62,2018
360,0,35,2015
26,1,114,2019
124,4,40,2023
268,5,46,2014
